count: e5
data: 4000 c4440 stack: 102290 10c2a0 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
2 c[1aa30,1aa5c) c[1aaf8,1aafc) 
6 c[1aa5c,1aa80) c[28a28,28a2c) c[1aa84,1aa90) c[11b80,11ba0) c[1ab58,1ab5c) c[c1850,c1858) 
28 c[1aa90,1aac4) c[1a7c0,1a7c4) c[1aac8,1aad0) c[1aadc,1aae4) c[1aa0c,1aa10) c[1aae8,1aaf8) c[1aa30,1aa34) c[1aafc,1ab14) c[1a738,1a73c) c[1ab18,1ab2c) c[1ab38,1ab58) c[1aa5c,1aa60) c[1ab5c,1ab68) c[1abd0,1abe8) c[1ac08,1ac20) c[1ac40,1ac50) c[11b80,11ba0) c[63fc,6400) c[641c,6420) c[643c,6440) c[645c,6460) c[647c,6480) c[649c,64a0) c[c2ffc,c3004) c[c1668,c1670) c[c22d8,c22e0) c[c22c8,c22d0) c[c1850,c1858) 
5 c[1baf4,1bb08) c[3a3a8,3a3ac) c[1bb0c,1bb3c) c[1bb9c,1bbb4) c[3af80,3af84) 
14 c[1bbb4,1bbf0) c[1bbfc,1bc8c) c[2d5a8,2d5ac) c[3af2c,3af50) c[3a70c,3a71c) c[3af58,3af64) c[3af68,3af74) c[3af78,3af80) c[1baf4,1baf8) c[3af84,3af98) c[3af9c,3afac) c[2e27c,2e280) c[c1ab8,c1ac0) c[c0be8,c0bf0) 
9 s[10b230,10b248) c[1dc28,1dc90) c[18770,18774) c[1dc94,1dc98) c[1de80,1de88) c[11b80,11ba0) c[1df5c,1df60) c[1e1c8,1e1cc) c[c1850,c1858) 
21 s[10b2f0,10b300) s[10b278,10b2e8) c[1de88,1ded4) c[1dee8,1df20) c[1df28,1df5c) c[1dc28,1dc2c) c[1df60,1df6c) c[1e1b0,1e1c8) c[1e1cc,1e1d0) c[1e1d4,1e1dc) c[11b80,11ba0) c[1e330,1e334) c[1e0bc,1e0d4) c[1e134,1e188) c[c1850,c1858) c[c1ab0,c1ab8) c[c0b12,c0b1a) c[c0b08,c0b11) c[c0b49,c0b64) c[c0b2c,c0b35) c[c0b36,c0b3f) 
25 s[10b3d0,10b3d8) s[10b578,10b580) s[10b588,10b5a0) s[10b230,10b238) s[10b358,10b3c8) c[1e1dc,1e21c) c[11384,113a0) c[230cc,230d0) c[1e220,1e234) c[1e240,1e26c) c[1e2cc,1e374) c[1de88,1de8c) c[1e3ac,1e3d8) c[2348c,23490) c[235b4,235e8) c[2354c,23558) c[235a0,235b0) c[11b80,11ba0) c[8f30,8f34) c[c1850,c1858) c[c2c98,c2ca0) c[4e470,4e48f) c[c0034,c003c) c[4e4b0,4e4d4) c[bef00,bef0e) 
4 c[20cf8,20d10) c[2dfb4,2dfb8) c[20d14,20d18) c[20d80,20d84) 
3 c[20d48,20d6c) c[20d90,20d94) c[c3c08,c3c10) 
11 c[20d6c,20d78) c[2625c,26260) c[20d7c,20d80) c[20cf8,20cfc) c[20d84,20d88) c[2c9e0,2c9e4) c[20d8c,20d90) c[20d48,20d4c) c[20d94,20da4) c[20dc8,20ddc) c[8a18,8a1c) 
5 c[22008,22038) c[280dc,280e0) c[2203c,22048) c[523c,5240) c[5260,5264) 
3 s[10b230,10b238) c[22b2c,22b5c) c[23148,2314c) 
3 s[10b170,10b178) c[22b8c,22bb8) c[22c44,22c48) 
